"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","should ignore empty messages","chromium","2026-03-13","passed","2026-03-13","Dummy Messaging App","messaging.spec.ts","",""
"","313","should ignore empty messages","firefox","2026-03-13","passed","2026-03-13","Dummy Messaging App","messaging.spec.ts","",""
"","1059","should send a message and display it in the list","chromium","2026-03-13","passed","2026-03-13","Dummy Messaging App","messaging.spec.ts","",""
"","2082","should send a message and display it in the list","firefox","2026-03-13","passed","2026-03-13","Dummy Messaging App","messaging.spec.ts","",""
